abuse	missbrauch
accommodation	unterkunft
activity	aktivität
admission	eintritt
airport	flughafen
alcohol	alkohol
aluminum	aluminium
american	amerikaner
animal	tier
announcement	ankündigung
antecedent	vorgeschichte	vorläufer
anxiety	angst
approach	ansatz
arafat	arafat
architecture	architektur
archive	archivieren	archiv
area	bereich
arrangement	anordnung	abmachung
arrival	ankunft
article	artikel
artifact	artefakt
association	verein
astronomer	astronom
asylum	asyl
atmosphere	atmosphäre
attempt	versuch
attitude	haltung
automobile	automobil
avenue	allee
baby	baby
bank	bank
baseball	baseball
basketball	basketball
bed	bett
benchmark	maßstab
bird	vogel
bishop	bischof
block	block
board	vorstand
book	buch
boxing	boxen
boy	junge
brandy	brandy
brazil	brasilien
bread	brot
brother	bruder
buck	bock (this is the literal translation of buck, i.e. the animal. There is no colloquial expression for dollar in German.)
butter	butter
cabbage	kohl
calculation	berechnung
canyon	schlucht
car	auto
card	karte
carnivore	fleischfresser
cash	bargeld
cat	katze
category	kategorie
cd	cd
cell	zelle	handy
cemetery	friedhof
center	zentrum
century	jahrhundert
challenge	herausforderung
championship	meisterschaft
chance	chance
change	veränderung
chemistry	chemie
children	kinder
chord	akkord
citizen	bürger
