clinic	klinik
closet	schrank
clothes	kleidung
coast	küste
cock	hahn
coffee	kaffee
cognition	erkenntnis
collection	sammlung
combination	kombination
communication	kommunikation
company	firma
competition	wettbewerb
computation	berechnung
computer	computer
concert	konzert
conclusion	abschluss
confidence	vertrauen
constellation	konstellation
consumer	verbraucher
country	land
crane	kran
credibility	glaubwürdigkeit
credit	kredit
crew	crew
crisis	krise
criterion	kriterium
critic	kritiker
cucumber	gurke
culture	kultur
cup	tasse
currency	währung
dawn	dämmerung
day	tag
death	tod
decoration	dekoration
defeat	niederlage
defeating	besiegen
delay	verzögerung
departure	abfahrt
deployment	einsatz
deposit	anzahlung
depression	depression
development	entwicklung
direction	richtung
disability	behinderung
disaster	katastrophe
discipline	disziplin
discovery	entdeckung
dividend	dividende
doctor	arzt
dollar	dollar
drink	getränk
drought	dürre
drug	droge
ear	ohr
earning	ertrags
eat	essen
ecology	ökologie
effort	anstrengung
egg	ei
emergency	notfall
energy	energie
entity	wesen
environment	umwelt
equality	gleichheit
equipment	ausrüstung
evidence	beweis
example	beispiel
exhibit	zeigen
experience	erfahrung
