jewel	juwel
journal	zeitschrift
journey	reise
keyboard	tastatur
kilometer	kilometer
kind	art (this means kind as in "kind of"; the translationg for kind as in "kind person" is "gütig")
king	könig
laboratory	labor
lad	junge
landscape	landschaft
laundering	wäsche
law	gesetz
lawyer	anwalt
lesson	lektion
liability	haftung
library	bibliothek
life	leben
line	linie
liquid	flüssigkeit
listing	auflistung
live	leben
lobster	hummer
loss	verlust
love	liebe (this is the noun form; the verb is "lieben")
lover	liebhaber
luxury	luxus
madhouse	irrenhaus
magician	zauberer
maker	hersteller
mammal	säugetier
man	mann
manslaughter	totschlag
maradona	maradona (what is this? is it a last name?)
marathon	marathon (this is the adjective; the noun would be "Marathonlauf")
market	markt
marriage	ehe
mars	mars
match	spiel (this is really ambiguous; see http://www.wordreference.com/ende/match for possible options; "spiel" is not a good choice though)
medal	medaille
media	medien
memorabilia	erinnerungsstücke
metal	metall
mexico	mexiko
midday	mittag
mile	meile
mind	geist
minister	minister
ministry	ministerium
minority	minderheit
money	geld
monk	mönch
month	monat
moon	mond
morality	moral
mother	mutter
motto	motto
mouth	mund
movie	film
murder	mord
museum	museum
music	musik
nation	nation
nature	natur
network	netzwerk
news	nachrichten
noon	mittag
number	anzahl
nurse	krankenschwester
object	objekt
observation	beobachtung
