jewel	juwel
journal	zeitschrift
journey	reise
keyboard	tastatur
kilometer	kilometer
kind	art
king	könig
laboratory	labor
lad	junge
landscape	landschaft
laundering	wäsche
law	gesetz
lawyer	anwalt
lesson	lektion
liability	haftung
library	bibliothek
life	leben
line	linie
liquid	flüssigkeit
listing	auflistung
live	leben
lobster	hummer
loss	verlust
love	liebe
lover	liebhaber
luxury	luxus
madhouse	irrenhaus
magician	zauberer
maker	hersteller
mammal	säugetier
man	mann
manslaughter	totschlag
maradona	maradona
marathon	marathon
market	markt
marriage	ehe
mars	mars
match	spiel
medal	medaille
media	medien
memorabilia	erinnerungsstücke
metal	metall
mexico	mexiko
midday	mittag
mile	meile
mind	geist
minister	minister
ministry	ministerium
minority	minderheit
money	geld
monk	mönch
month	monat
moon	mond
morality	moral
mother	mutter
motto	motto
mouth	mund
movie	film
murder	mord
museum	museum
music	musik
nation	nation
nature	natur
network	netzwerk
news	nachrichten
noon	mittag
number	anzahl
nurse	krankenschwester
object	objekt
observation	beobachtung
