office	büro
oil	öl
opec	opec
opera	oper
operation	betrieb
oracle	orakel
organism	organismus
palestinian	palästinenser
paper	papier
party	partei
payment	zahlung
peace	frieden
people	menschen
percent	prozent
performance	leistung
personnel	personal
phone	telefon
physics	physik
place	ort
plan	plan
plane	flugzeug
planet	planet
planning	planung
popcorn	popcorn
population	bevölkerung
possession	besitz
possibility	möglichkeit
potato	kartoffel
practice	praxis
precedent	präzedenzfall
prejudice	vorurteil
preparation	vorbereitung
preservation	erhaltung
president	präsident
price	preis
problem	problem
production	produktion
professor	professor
profit	gewinn
project	projekt
prominence	bedeutung
property	immobilien
proton	proton
proximity	nähe
psychiatry	psychiatrie
psychology	psychologie
quarrel	streit
queen	königin
rabbi	rabbiner
racism	rassismus
racket	schläger
radio	radio
reason	grund
recess	nische
recognition	anerkennung
recommendation	empfehlung
record	rekord
recovery	erholung
registration	anmeldung
report	bericht
reservation	reservierung
rock	rock
rook	turm
rooster	hahn
round	runde
row	reihe
school	schule
science	wissenschaft
scientist	wissenschaftler
sea	meer
