seafood	meeresfrüchte
season	saison
secret	geheimnis
secretary	sekretärin
seepage	durchsickern
senate	senat
serial	serien-
series	serie
seven	sieben
sex	sex
shore	ufer
shower	dusche
sign	zeichen
similarity	ähnlichkeit
situation	situation
size	größe
skin	haut
slave	sklave
smart	intelligent
smile	lächeln
soap	seife
soccer	fußball
software	software
space	raum
sprint	sprint
star	stern
start	start
stock	lager
stove	herd
street	straße
string	schnur
stroke	schlaganfall
student	schüler
stupid	dumm
substance	substanz
sugar	zucker
summer	sommer
sun	sonne
surface	oberfläche
tableware	geschirr
team	team
telephone	telefon
television	fernsehen
tennis	tennis
term	begriff
territory	gebiet
terror	terror
theater	theater
thunderstorm	gewitter
ticket	ticket
tiger	tiger
tool	werkzeug
tournament	turnier
trading	handel
train	zug
travel	reise
treatment	behandlung
troops	truppen
type	typ
valor	tapferkeit
victim	opfer
victory	sieg
video	video
viewer	zuschauer
virtuoso	virtuose
vodka	wodka
volunteer	freiwillige
voyage	reise
war	krieg
warning	warnung
water	wasser
wealth	reichtum
weapon	waffe
weather	wetter
wednesday	mittwoch
wine	wein
withdrawal	rückzug
wizard	zauberer
woman	frau
wood	holz
woodland	wald
word	wort
world	welt
yale	yale
year	jahr
yen	yen
zoo	zoo
